Year,Jordan,South,North,Middle,Aqaba,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Population,CO2 per year
1950,18.15,17.75,18.15,17.99,18.97,6.75,8.4,12.62,19.03,21.18,24.05,27.04,27.24,24.48,19.5,14.88,12.01,438386,172208
1951,19.13,18.69,19.16,19.01,19.66,9.86,10.95,15.6,18.96,23.23,25.18,27.55,27.86,25.61,20.39,14.89,8.96,469962,161216
1952,19.2,18.79,19.18,19.09,19.85,9.21,11.01,12.71,17.97,22.06,24.86,26.49,28.21,27.52,22.37,15.05,12.75,504576,194192
1953,18.27,17.91,18.18,18.07,18.87,9.5,11.39,10.93,17.42,22.13,25.02,27.83,27.38,24.55,21.57,12.99,8.12,541616,212512
1954,18.93,18.49,18.95,18.77,19.42,8.29,10.47,14.78,16.25,22.81,24.88,27.93,28.42,25.01,21.3,15.67,10.73,580796,252549
1955,19.35,18.81,19.41,19.21,19.71,10.47,13.28,13.89,18.37,22.01,26.56,27.27,26.62,25.11,22.45,14.97,10.85,622010,380699
1956,18.4,17.96,18.49,18.35,18.91,9.24,11.6,11.44,17.15,20.44,25.32,27.87,28.81,24.74,19.39,15.06,9.64,665071,450345
1957,18.49,17.98,18.54,18.35,19.19,6.75,9.7,13.32,17.37,21.18,24.88,27.13,28.21,25.12,22.07,15.15,10.46,709849,494194
1958,18.96,18.47,18.99,18.83,19.67,9.46,10.84,14.88,19.69,21.66,24.89,26.64,27.99,24.4,19.71,14.8,12.02,755904,523506
1959,17.88,17.4,17.9,17.74,18.6,9.74,6.35,11.81,18.2,22.42,25.36,25.77,26.06,23.29,18.98,14.62,11.21,802351,655410
1960,19.53,19.05,19.59,19.44,20.21,9.64,11.91,13.66,18.03,24.58,24.72,27.07,27.27,25.15,22.38,16.15,13.43,847936,743138
1961,18.31,17.84,18.27,18.12,19.02,8.83,8.91,11.77,17.95,22.59,26.18,27.31,27.47,23.12,20.04,13.96,10.97,891848,977397
1962,19.64,19.2,19.55,19.45,20.37,9.94,9.96,16.02,17.04,22.56,26.27,27.32,28.49,25.94,21.91,17.92,11.64,934615,1046953
1963,19.23,18.83,19.15,19.02,20.04,11.11,12.45,12.34,18.51,21.1,25.64,27.42,28.1,25.88,22.16,15.54,10.12,978607,1218953
1964,17.96,17.51,17.94,17.78,18.74,6.33,9.68,14.36,16.82,20.37,24.9,26.4,26.3,24.02,20.77,14.89,10.45,1029447,1240848
1965,18.62,18.13,18.61,18.43,19.32,8.39,10.69,14.44,16.8,21.46,26.62,27.16,27.72,25.29,19.03,14.42,11,1093474,1420414
1966,19.29,18.8,19.25,19.05,19.99,9.9,11.23,13.36,18.88,21.9,26.02,27.23,27.64,24.61,20.98,17.9,11.42,1172770,1581332
